causality,bugid,buggycolumn,rank
2,65,46,62
2,65,47,
2,65,48,
2,65,49,62
2,65,53,7
2,66,32,
2,66,96,
2,66,2,7
2,66,98,
2,66,4,7
2,66,5,7
2,66,100,
2,66,71,
2,66,8,
2,66,9,
2,66,72,
2,66,11,
2,66,26,
2,66,27,
2,66,31,
2,67,10,1
2,67,11,
2,70,7,1
2,71,83,
2,71,172,14
2,71,173,1
2,71,84,
2,73,25,3
2,77,257,1
2,77,616,
2,77,617,
2,77,618,
2,77,619,
2,77,620,
2,77,621,
2,77,623,
2,77,624,
2,77,625,
2,77,626,
2,77,627,
2,77,628,
2,83,91,13
2,83,69,32
2,83,95,62
2,85,25,3
2,87,68,9
2,87,69,
2,89,24,
2,89,25,15
2,89,26,15
2,89,23,5
2,92,32,9
2,92,33,49
2,92,40,7
2,92,42,6
2,92,43,6
2,92,29,40
2,92,30,19
2,92,31,
2,95,19,7
2,95,20,7
2,96,53,40
2,97,28,7
2,97,29,8
2,97,30,16
2,97,31,
2,101,86,16
3,3,200,140
3,3,198,144
3,4,40,16
3,4,41,16
3,4,42,16
3,4,43,16
3,4,18,44
3,4,19,
3,5,63,1
3,11,35,18
3,14,3,6
3,14,4,
3,14,5,
3,14,47,
3,14,48,
3,21,37,17
3,21,5,39
3,21,11,39
3,21,14,27
3,21,15,27
3,21,16,
3,21,17,24
3,21,18,
3,21,19,
3,21,20,
3,23,80,36
3,23,105,36
3,23,82,
3,23,79,36
3,24,105,62
3,24,82,
3,27,146,12
3,29,107,
3,29,108,54
3,29,109,
3,29,110,
3,29,114,5
3,29,115,5
3,29,116,
3,29,117,
3,29,118,5
3,29,122,19
3,29,125,19
3,37,160,11
3,37,162,10
3,37,163,10
3,37,164,10
3,37,165,10
3,37,154,6
3,37,156,6
3,37,157,4
3,37,158,3
3,37,159,3
3,42,126,8
3,42,127,8
3,45,1,5
3,45,2,5
3,45,3,5
3,45,4,5
3,46,57,3
3,46,42,1
3,49,129,14
3,49,130,14
3,49,136,10
3,49,137,10
3,49,144,
3,49,115,
3,49,122,
3,49,123,
3,51,67,
3,51,43,26
3,53,25,3
3,53,26,3
3,55,98,2
3,56,33,7
3,56,34,7
3,56,35,2
3,56,36,2
3,56,37,7
3,56,38,7
3,60,20,
3,60,21,
3,60,22,
3,60,23,
3,60,24,
3,60,25,
3,61,7,1
3,63,89,20
3,64,65,
3,64,131,
3,64,132,
3,64,68,91
3,64,38,91
3,64,67,91
3,64,133,
3,64,137,
3,64,42,91
3,64,138,
3,64,78,
3,64,79,
3,64,91,
3,64,126,
3,66,32,
3,66,96,
3,66,2,7
3,66,98,
3,66,4,7
3,66,5,7
3,66,100,
3,66,71,
3,66,8,
3,66,9,
3,66,72,
3,66,11,
3,66,26,
3,66,27,
3,66,31,
3,73,25,3
3,77,257,1
3,77,616,
3,77,617,
3,77,618,
3,77,619,
3,77,620,
3,77,621,
3,77,623,7
3,77,624,7
3,77,625,7
3,77,626,7
3,77,627,7
3,77,628,7
3,85,25,2
3,86,11,3
3,86,12,3
3,86,13,1
3,86,14,
3,87,68,5
3,87,69,
3,92,32,11
3,92,33,8
3,92,40,7
3,92,42,6
3,92,43,6
3,92,29,32
3,92,30,23
3,92,31,
3,95,19,6
3,95,20,6
3,96,53,32
3,101,86,18
4,11,35,18
4,14,3,6
4,14,4,
4,14,5,
4,14,47,10
4,14,48,
4,21,37,21
4,21,5,43
4,21,11,43
4,21,14,31
4,21,15,31
4,21,16,4
4,21,17,28
4,21,18,3
4,21,19,3
4,21,20,3
4,22,48,10
4,22,79,20
4,24,105,110
4,24,82,98
4,27,146,13
4,29,107,60
4,29,108,65
4,29,109,
4,29,110,
4,29,114,9
4,29,115,9
4,29,116,2
4,29,117,2
4,29,118,9
4,29,122,
4,29,125,
4,32,31,3
4,35,3,
4,35,6,3
4,36,160,37
4,36,161,37
4,36,150,51
4,36,151,51
4,37,160,13
4,37,162,7
4,37,163,7
4,37,164,7
4,37,165,7
4,37,154,14
4,37,156,12
4,37,157,12
4,37,158,12
4,37,159,12
4,40,64,
4,40,66,5
4,45,1,5
4,45,2,5
4,45,3,5
4,45,4,5
4,46,57,2
4,46,42,1
4,49,129,
4,49,130,
4,49,136,
4,49,137,
4,49,144,6
4,49,115,38
4,49,122,27
4,49,123,27
4,53,25,3
4,53,26,3
4,60,20,
4,60,21,
4,60,22,
4,60,23,
4,60,24,
4,60,25,
4,65,45,62
4,65,46,62
4,65,47,
4,65,48,
4,65,49,62
4,65,53,7
4,66,32,
4,66,96,
4,66,2,7
4,66,98,
4,66,4,7
4,66,5,7
4,66,100,
4,66,71,
4,66,8,
4,66,9,
4,66,72,
4,66,11,
4,66,26,
4,66,27,
4,66,31,
4,70,7,3
4,71,83,
4,71,172,25
4,71,173,1
4,71,84,
4,83,91,12
4,83,69,19
4,83,95,6
4,86,11,3
4,86,12,3
4,86,13,1
4,86,14,
4,87,68,6
4,87,69,
4,89,24,
4,89,25,
4,89,26,
4,89,23,3
4,92,32,21
4,92,33,11
4,92,40,7
4,92,42,6
4,92,43,6
4,92,29,51
4,92,30,38
4,92,31,
4,95,19,6
4,95,20,6
4,96,53,31
4,101,86,10
4,106,34,9
4,106,52,
4,106,37,6
4,106,47,
