Causality,BugID,Bug_Column,Ideal Rank,Ideal Score(ochiai),Flaky Rank,Flaky Score(ochiai),Delta Wasted Effort
4,Bug18,45,1.0,0.9999999996527777,81.0,0.1290994447659977,0.3053435114503817
4,Bug18,208,1.0,0.9999999500000037,13.0,0.44721359102782204,0.04580152671755725
4,Bug18,97,2.5,0.999999996875,4.5,0.6708203915728859,0.015267175572519083
4,Bug18,100,3.0,0.9999999875000002,21.0,0.31622776443569917,0.07633587786259542
4,Bug18,101,3.0,0.9999999875000002,21.0,0.31622776443569917,0.07633587786259542
4,Bug22,33,2.0,0.9999999875000002,49.0,0.2672612409579199,0.42276422764227645
4,Bug22,35,2.0,0.9999999875000002,49.0,0.2672612409579199,0.42276422764227645
4,Bug22,82,4.5,0.9999999875000002,49.0,0.2672612409579199,0.3821138211382114
4,Bug22,66,4.0,0.9999999980000001,5.5,0.6761234028169226,0.01626016260162602
4,Bug22,71,1.5,0.9999999944444444,10.5,0.6546536691492779,0.07317073170731707
4,Bug24,13,2.5,0.999999996875,2.5,0.7071067767671302,0.0
5,Bug10,3,2.0,0.9999999986111111,2.0,0.9128709276538253,0.0
5,Bug11,67,4.0,0.9999999995867769,13.0,0.6741998618503331,0.046875
5,Bug14,1616,8.5,0.9999999500000037,181.5,0.3333333314814815,0.07943747624477385
5,Bug14,494,1.5,0.999999996875,22.5,0.49999999930555555,0.00798175598631699
5,Bug14,1678,1316.5,0.0,1533.0,0.0,0.0
5,Bug15,212,1.5,0.9999999875000002,27.0,0.40824828706179395,0.03634085213032581
5,Bug15,336,2.0,0.9999999944444444,2.0,0.666666662962963,0.0
5,Bug15,337,400.0,0.0,462.0,0.0,0.0
5,Bug16,35,1.5,0.9999999980000001,1.5,0.9128709276538253,0.0
5,Bug16,36,1.5,0.9999999980000001,1.5,0.9128709276538253,0.0
5,Bug16,68,1.0,0.9999999500000037,4.0,0.40824828706179395,0.016216216216216217
5,Bug17,200,1.0,0.9999999980000001,1.0,0.9999999980000001,0.0
5,Bug18,203,2.5,0.9999999989795919,4.0,0.571428570845481,0.0076335877862595426
5,Bug18,45,3.0,0.9999999996527777,99.0,0.2182178901061008,0.366412213740458
5,Bug18,208,1.0,0.9999999944444444,21.5,0.436435779432852,0.0916030534351145
5,Bug18,97,2.5,0.9999999986111111,14.5,0.46291004933519236,0.04580152671755725
5,Bug18,100,2.0,0.999999996875,46.0,0.37796447233429065,0.183206106870229
5,Bug18,101,2.0,0.999999996875,46.0,0.37796447233429065,0.183206106870229
5,Bug22,33,3.0,0.9999999875000002,36.0,0.5773502667839997,0.2682926829268293
5,Bug22,35,3.0,0.9999999875000002,36.0,0.5773502667839997,0.2682926829268293
5,Bug22,82,2.5,0.9999999944444444,42.0,0.4714045194815747,0.3333333333333333
5,Bug22,66,4.5,0.9999999980000001,16.5,0.7302967421230603,0.0975609756097561
5,Bug22,71,2.0,0.9999999875000002,68.5,0.28867513339199985,0.5691056910569106
5,Bug24,13,2.5,0.9999999989795919,2.5,0.9999999989795919,0.0
