Causality,BugID,Bug_Column,Rank#1,Rank#2,Rank#3,Rank#4,Rank#5,Rank#6,Rank#7,Rank#8,Rank#9,Rank#10,Rank#11
4,14,1616,262.0,10.0
4,14,1617,2045.0,2045.0
4,14,1689,8.0,160.0
4,14,1690,2045.0,2045.0
5,14,577,351.0,200.0
5,14,578,496.0,496.0
5,14,494,22.0,1.0
5,14,495,2023.0,2023.0
5,14,1616,152.0,27.0
5,14,1617,2023.0,2023.0
5,14,1689,4.0,378.0
5,14,1690,2023.0,2023.0
1,15,336,175.0,175.0
1,15,212,1.0,1.0
1,15,213,1.0,1.0
2,15,336,2.0,77.0,6.0
2,15,212,53.0,2.0,145.0
2,15,213,53.0,2.0,145.0
3,15,336,2.0,2.0
3,15,212,120.0,120.0
3,15,213,120.0,120.0
4,15,336,122.0,24.0
4,15,212,13.0,104.0
4,15,213,13.0,104.0
5,15,336,2.0,95.0
5,15,212,23.0,13.0
5,15,213,23.0,13.0
1,16,35,1.0,3.0
1,16,36,1.0,3.0
1,16,68,22.0,1.0
2,16,35,1.0,4.0
2,16,36,1.0,4.0
2,16,68,18.0,0.0
3,16,35,1.0,13.0
3,16,36,1.0,13.0
3,16,68,27.0,8.0
5,16,35,1.0,4.0
5,16,36,1.0,4.0
5,16,68,2.0,0.0
1,17,200,2.0,1.0
2,17,200,0.0,0.0
3,17,200,1.0,1.0
4,17,200,0.0,0.0
5,17,200,0.0,0.0
1,18,97,3.0,74.0
1,18,98,3.0,74.0
1,18,99,59.0,92.0
1,18,100,59.0,92.0
1,18,203,11.0,45.0
1,18,208,4.0,19.0
2,18,97,1.0,26.0
2,18,98,1.0,26.0
2,18,99,90.0,92.0
2,18,100,90.0,92.0
2,18,203,24.0,5.0
2,18,208,45.0,49.0
3,18,97,6.0,3.0
3,18,98,6.0,3.0
3,18,99,93.0,93.0
3,18,100,93.0,93.0
3,18,203,10.0,20.0
3,18,208,11.0,21.0
4,18,97,3.0,3.0
4,18,98,3.0,3.0
4,18,99,20.0,20.0
4,18,100,20.0,20.0
4,18,203,10.0,10.0
4,18,208,12.0,12.0
5,18,97,15.0,3.0,98.0,3.0,98.0,3.0,98.0,5.0,86.0,5.0,86.0
5,18,98,15.0,3.0,98.0,3.0,98.0,3.0,98.0,5.0,86.0,5.0,86.0
5,18,99,42.0,104.0,101.0,82.0,101.0,9.0,101.0,11.0,104.0,11.0,104.0
5,18,100,42.0,104.0,101.0,82.0,101.0,9.0,101.0,11.0,104.0,11.0,104.0
5,18,203,4.0,26.0,12.0,48.0,21.0,23.0,12.0,27.0,12.0,27.0,12.0
5,18,208,16.0,99.0,32.0,78.0,36.0,5.0,87.0,6.0,99.0,6.0,99.0
1,22,33,74.0,74.0
1,22,66,34.0,34.0
1,22,35,74.0,74.0
1,22,70,87.0,87.0
1,22,71,87.0,87.0
1,22,82,13.0,13.0
2,22,33,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
2,22,66,20.0,44.0,39.0,10.0,60.0,10.0,60.0,10.0,60.0,10.0,60.0
2,22,35,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
2,22,70,69.0,1.0,86.0,57.0,35.0,57.0,35.0,57.0,35.0,57.0,35.0
2,22,71,69.0,1.0,86.0,57.0,35.0,57.0,35.0,57.0,35.0,57.0,35.0
2,22,82,37.0,51.0,4.0,81.0,4.0,81.0,4.0,81.0,4.0,81.0,4.0
3,22,33,96.0,96.0
3,22,66,8.0,41.0
3,22,35,96.0,96.0
3,22,70,56.0,68.0
3,22,71,56.0,68.0
3,22,82,63.0,1.0
4,22,33,44.0,95.0,44.0,95.0,44.0,95.0,44.0,95.0,44.0,95.0,44.0
4,22,66,7.0,79.0,7.0,79.0,7.0,79.0,7.0,79.0,7.0,79.0,7.0
4,22,35,44.0,95.0,44.0,95.0,44.0,95.0,44.0,95.0,44.0,95.0,44.0
4,22,70,10.0,82.0,10.0,82.0,10.0,82.0,10.0,82.0,10.0,82.0,10.0
4,22,71,10.0,82.0,10.0,82.0,10.0,82.0,10.0,82.0,10.0,82.0,10.0
4,22,82,49.0,7.0,58.0,7.0,58.0,7.0,58.0,7.0,58.0,7.0,58.0
5,22,33,37.0,4.0
5,22,66,19.0,38.0
5,22,35,37.0,4.0
5,22,70,65.0,65.0
5,22,71,65.0,65.0
5,22,82,41.0,45.0
1,24,13,3.0,3.0
2,24,13,3.0,3.0
3,24,13,3.0,3.0
4,24,13,3.0,3.0
5,24,13,3.0,3.0
2,26,242,10.0,10.0
2,26,243,10.0,10.0
